glyph_index_hex,character,confidence,evidence_kind,evidence_note
0001,、,SUPPORTED,dialogue_context,Repeated clause punctuation: ホント、/ いつ、/ ま、ま…ね / いやぁ、ホント
0021,！,SUPPORTED,dialogue_context,Sentence-final exclamation in ゲーム dialogue; also quoted 行けッ！
0022,？,SUPPORTED,dialogue_context,Question punctuation after ハァ/いいっ/空中コンボ
0026,…,SUPPORTED,dialogue_context,Repeated hesitation/trailing mark: …… and sentence-final ellipsis before punctuation
002C,「,SUPPORTED,provided_context_high,Context inference (HIGH); examples: RL:07 0E 00 0A 00><G002C>ミランダのことだ 、どうせ、キッチンに 、 | <G002C>ミランダのことだ 、キッチンだろ、どうせ< | おじさん…？ <G002C>そっとしておこう…<G002D>
002D,」,SUPPORTED,provided_context_high,Context inference (HIGH); examples:  、かくしたに<G0410>まってる<G002D> | ンダのことだ 、キッチンだろ、どうせ<G002D> | ？ <G002C>そっとしておこう…<G002D>
002E,「,SUPPORTED,dialogue_context,Opening quote before スキル/ライフアップ/行けッ
002F,」,SUPPORTED,dialogue_context,Closing quote after スキル/ライフアップ/行けッ
0033,2,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 52E>中で分かれてさ いまは、この<G0033>人で 旅してるんだ | <G0033>00<G01CA>？ そんなの一生じゃない | L:07>それからね、あれはたしか <G0033><G06A6>のとき<G0865><G08
0035,5,SUPPORTED,provided_context_high,Context inference (HIGH); examples: まっ、フライパンで お<G0364><G0035>0発はカタイね！ | 前に、あんたが船に 乗ったのが<G0035><G06A6>のときか…<CTRL:09  | ゃっかりしたボウズだな そうだな…、<G0035><G0040>あげるよ
0054,ぁ,SUPPORTED,dialogue_context,Small-vowel speech style: なぁ/まぁ/いやぁ/さぁ
005A,ぇ,SUPPORTED,dialogue_context,Small-vowel speech style: すげぇ/ちぇっ/ねぇ
006F,ぜ,SUPPORTED,dialogue_context,Visually verified as ぜ; sentence-ending ぜ and repeated ぜんぜん both fit the raw-byte contexts
0083,ぱ,SUPPORTED,dialogue_context,やっぱり and やっぱ
008F,ぽ,SUPPORTED,provided_context_high,Context inference (HIGH); examples: ああ、そこの正体不明の ニワトリっ<G008F>い置物か…<CTRL:09 0E 00 0 | …コッペのほうが よっ<G008F>ど世の中 分かってるわね！ ユウキ、あんた | <CTRL:1E> んなこと、これっ<G008F>っちも 思ってないっしょ？
0113,会,SUPPORTED,dialogue_context,会おう/会うわけない/会ったら
0114,話,SUPPORTED,dialogue_context,Compound 話: そんな話/その話/子供の頃よく世話
011C,必,SUPPORTED,dialogue_context,必 要: 必要なのか/必要になったら/必要ない
0123,換,SUPPORTED,provided_context_high,Context inference (HIGH); examples: よ すごい勝負が見られるよ！ 気分転<G0123>になるかもよ？ | それなら オレの剣と<G0122><G0123>してやろうか？ けっこう切れるよ！
0126,捨,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 、こないださ <G023F>しいゴミ<G0126>て場の話 してたでしょ？ ガシャンおじさん | 74><G0553>作ってさ なんか<G0126>てられなくない？ オレも飛行機で、<G04 | よく見てみると おじさん、ちょっと <G0126>て<G02ED>みたいなアイシュウが ただ
012C,配,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 心<G012C>じゃないの？ | …ったく 心<G012C>してんのか うらやましがってんのか どっち | 3 00>まぁ、じいさんは なんも心<G012C>しないで いつも通りに ここにいればいいさ
0132,買,SUPPORTED,provided_context_high,Context inference (HIGH); examples: ああ、アレねっ！ いいわ、<G0132>ってきたげる！<CTRL:09 0E 00 | ああ、アレねっ！ いいわ、<G0132>ってきたげる！<CTRL:09 0E 00 | 0>は…、そうだな グラディスさんが<G0132>ってきた <G05C3>食の<G0352>
0133,売,SUPPORTED,provided_context_high,Context inference (HIGH); examples: でも <G01D7>に立つ品物を<G0133>ってるし <G04CE>より、いい<G05 | んは、武器や防具 それに傷薬なんか <G0133>ってるんだよな<CTRL:07 0E 00 | ここで魔法が<G0133>ってるんだ <G03B4>か、攻撃する魔法
013C,続,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 方にある… 大空に、<G0336>み<G013C>けるんだって… | 00 08 00> ったく、どこまで<G013C>くんだよ グラディスさんの<G05CE>< | 10>して満足せず おじさんは、作り<G013C>ける！<CTRL:09> そうだッ、燃える
013E,期,SUPPORTED,provided_context_high,Context inference (HIGH); examples: >マ<CTRL:1E> こうなりゃ長<G013E>戦だ<CTRL:13>マ<CTRL:19> | CTRL:13>マ<CTRL:14><G013E>待どおり<CTRL:13>マ<CTRL:0 | は 会ってくれないかもな ホントに長<G013E>戦になりそうだ
0143,選,SUPPORTED,provided_context_high,Context inference (HIGH); examples: …それでシュミットは 飛ばないことを<G0143>んで そのまま… | …それでシュミットは 飛ばないことを<G0143>んで そのまま… | …それでシュミットは 飛ばないことを<G0143>んで そのまま…
0152,村,SUPPORTED,dialogue_context,村を出る/この村のこと/村長
0162,忘,SUPPORTED,provided_context_high,Context inference (HIGH); examples: ううん ちょっとね、<G0162>れ物… | いっけね、<G0162>れてた！ ああ、もちろん！ | RL:07 0E 00 0A 00><G0162>れ物は…、ない！ 早くガレージに行って ロ
0163,届,SUPPORTED,provided_context_high,Context inference (HIGH); examples: G02EF>の<G051C>しい物が<G0163>くと 必ず、お<G02E8>に 呼んでくれ | G02EF>の<G051C>しい物が<G0163>くと 必ず、お<G02E8>に 呼んでくれ | TRL:13>マ<G0012> 早く<G0163>けてあげないと……<CTRL:13>マ<G
