encoded_hex,character,width_bytes
20,　,1
23,！,1
25,〜,1
27,ー,1
28,・,1
30,0,1
31,1,1
32,2,1
46,M,1
49,P,1
4C,S,1
55,あ,1
57,い,1
59,う,1
5B,え,1
5D,お,1
5E,か,1
5F,が,1
60,き,1
61,ぎ,1
62,く,1
63,ぐ,1
64,け,1
65,げ,1
66,こ,1
67,ご,1
68,さ,1
69,ざ,1
6A,し,1
6B,じ,1
6C,す,1
6D,ず,1
6E,せ,1
70,そ,1
72,た,1
73,だ,1
74,ち,1
75,っ,1
76,つ,1
77,づ,1
78,て,1
79,で,1
7A,と,1
7B,ど,1
7C,な,1
7D,に,1
7E,ぬ,1
7F,ね,1
80,の,1
81,は,1
82,ば,1
84,ひ,1
85,び,1
87,ふ,1
88,ぶ,1
8A,へ,1
8B,べ,1
8D,ほ,1
8E,ぼ,1
90,ま,1
91,み,1
92,む,1
93,め,1
94,も,1
95,ゃ,1
96,や,1
98,ゆ,1
99,ょ,1
9A,よ,1
9B,ら,1
9C,り,1
9D,る,1
9E,れ,1
9F,ろ,1
A0,わ,1
A1,を,1
A2,ん,1
A3,ァ,1
A4,ア,1
A5,ィ,1
A6,イ,1
A7,ゥ,1
A8,ウ,1
A9,ェ,1
AA,エ,1
AB,ォ,1
AC,オ,1
AD,カ,1
AE,ガ,1
AF,キ,1
B0,ギ,1
B1,ク,1
B2,グ,1
B3,ケ,1
B4,ゲ,1
B5,コ,1
B6,ゴ,1
B7,サ,1
B8,ザ,1
B9,シ,1
BA,ジ,1
BB,ス,1
BC,ズ,1
BD,セ,1
BE,ゼ,1
BF,ソ,1
C0,ゾ,1
C1,タ,1
C2,ダ,1
C3,チ,1
C4,ッ,1
C5,ツ,1
C6,ヅ,1
C7,テ,1
C8,デ,1
C9,ト,1
CA,ド,1
CB,ナ,1
CC,ニ,1
CD,ヌ,1
CE,ネ,1
CF,ノ,1
D0,ハ,1
D1,バ,1
D2,パ,1
D3,ヒ,1
D4,ビ,1
D5,ピ,1
D6,フ,1
D7,ブ,1
D8,プ,1
D9,ヘ,1
DA,ベ,1
DB,ペ,1
DC,ホ,1
DD,ボ,1
DE,ポ,1
DF,マ,1
E0,ミ,1
E1,ム,1
E2,メ,1
E3,モ,1
E4,ャ,1
E5,ヤ,1
E6,ュ,1
E7,ユ,1
E8,ョ,1
E9,ヨ,1
EA,ン,1
EB,ラ,1
EC,リ,1
ED,ル,1
EE,レ,1
EF,ロ,1
20 F0,ワ,2
20 F1,杖,2
20 F2,式,2
20 F5,端,2
21 F1,逃,2
21 F2,破,2
