stream_key,sample_ids,sample_metadata,alternate_sample_ids,suggested_runtime_trigger_sample_ids,metadata_pattern,evidence,runtime_proof,notes
0x38,0x2BC;0x2BD,0x38000184;0x38010084,0x2BC,0x2BD,0x000184;0x010084,INFERRED_FROM_0x415_META_PATTERN,PENDING_RUNTIME_OBSERVATION,0x010084 variant observed at renderer hook for Alfina stream 0x63. Other streams remain inferred until observed in their scene.
0x39,0x2BE;0x2BF,0x39000184;0x39010084,0x2BE,0x2BF,0x000184;0x010084,INFERRED_FROM_0x415_META_PATTERN,PENDING_RUNTIME_OBSERVATION,0x010084 variant observed at renderer hook for Alfina stream 0x63. Other streams remain inferred until observed in their scene.
0x4F,0x39C;0x39D,0x4F000184;0x4F010084,0x39C,0x39D,0x000184;0x010084,INFERRED_FROM_0x415_META_PATTERN,PENDING_RUNTIME_OBSERVATION,0x010084 variant observed at renderer hook for Alfina stream 0x63. Other streams remain inferred until observed in their scene.
0x53,0x3EC;0x3ED,0x53000284;0x53010084,0x3EC,0x3ED,0x000284;0x010084,INFERRED_FROM_0x415_META_PATTERN,PENDING_RUNTIME_OBSERVATION,0x010084 variant observed at renderer hook for Alfina stream 0x63. Other streams remain inferred until observed in their scene.
0x54,0x3EE;0x3EF,0x54000284;0x54010084,0x3EE,0x3EF,0x000284;0x010084,INFERRED_FROM_0x415_META_PATTERN,PENDING_RUNTIME_OBSERVATION,0x010084 variant observed at renderer hook for Alfina stream 0x63. Other streams remain inferred until observed in their scene.
0x55,0x3F0;0x3F1,0x55000284;0x55010084,0x3F0,0x3F1,0x000284;0x010084,RUNTIME_OBSERVED_0x3F0,RUNTIME_OBSERVED_CAPTURE_ALIGNED,0x3F0 observed in DATA/01010201.MDZ while Miranda goes to the garage to find Yuki; user requested the garage dialogue in the rendered-event overlay in addition to the existing video/SRT workflow.
0x56,0x3F2;0x3F3,0x56000284;0x56010084,0x3F2,0x3F3,0x000284;0x010084,INFERRED_FROM_0x415_META_PATTERN,PENDING_RUNTIME_OBSERVATION,0x010084 variant observed at renderer hook for Alfina stream 0x63. Other streams remain inferred until observed in their scene.
0x57,0x3F4;0x3F5,0x57000284;0x57010084,0x3F4,0x3F5,0x000284;0x010084,INFERRED_FROM_0x415_META_PATTERN,PENDING_RUNTIME_OBSERVATION,0x010084 variant observed at renderer hook for Alfina stream 0x63. Other streams remain inferred until observed in their scene.
0x58,0x3F6;0x3F7,0x58000284;0x58010084,0x3F6,0x3F7,0x000284;0x010084,INFERRED_FROM_0x415_META_PATTERN,PENDING_RUNTIME_OBSERVATION,0x010084 variant observed at renderer hook for Alfina stream 0x63. Other streams remain inferred until observed in their scene.
0x59,0x3F8;0x3F9,0x59000284;0x59010084,0x3F8,0x3F9,0x000284;0x010084,INFERRED_FROM_0x415_META_PATTERN,PENDING_RUNTIME_OBSERVATION,0x010084 variant observed at renderer hook for Alfina stream 0x63. Other streams remain inferred until observed in their scene.
0x5A,0x3FA;0x3FB,0x5A000284;0x5A010084,0x3FA,0x3FB,0x000284;0x010084,INFERRED_FROM_0x415_META_PATTERN,PENDING_RUNTIME_OBSERVATION,0x010084 variant observed at renderer hook for Alfina stream 0x63. Other streams remain inferred until observed in their scene.
