id,category,sub_category,source_file,inner_file,record_id,scene_id,string_index,original_offset,pointer_offset,jp_raw_hex,jp_text,kr_text,kr_encoded_hex,speaker,control_codes,status,game_verified,translator_note,review_note,canonical_jp_text,reference_glyph_status,reference_glyphs_used,image_glyph_status,image_glyphs_used
SCN_00031300_00740000_0006,SCENARIO,scenario_message,DATA/00031300.MDZ,DATA/00031300.MDT,0x00740000,00031300,5,0x001e561f,0x001e561a,86 86 9d a1 21 26 f0 3b f0 c6 e9 37 f0 ec e4 e9 08 3a f3 8a 98 9c 77 7e 46 07 0e 00 01 00 a7 45 c2 08 49 f6 44 f6 a0 9d f0 7f 99 f1 77 c2 93 46 08 86 c2 9c 67 f0 99 9c 80 b5 08 a1 f0 9d 84 f1 9c 77 ba 9c 0d ff 00,"ここには、フライトユニット
隠してないか…<CTRL:07 0E 00 01 00>ふ〜ん
料理の本が多いんだ…
こんな時でなきゃ
見に来ないよな","여기에는 플라이트 유닛을
숨겨 두지 않았나…<CTRL:07 0E 00 01 00>흐음
요리 책이 많네…
이런 때가 아니면
보러 오지 않겠지.",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 0b 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":11},{""offset"":16,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":25,""raw_hex"":""07 0e 00 01 00"",""kind"":""INLINE_07"",""argument"":1},{""offset"":33,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":48,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":58,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":68,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역; <CTRL>/<Gxxxx> 구조 토큰 보존.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_12; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. 구조 토큰 보존.,"ここには<G0001>フライトユニット
<G035A>してないか<G0026><CTRL:07 0E 00 01 00>ふ〜ん
<G05D9><G05D4>の本が多いんだ<G0026>
こんな時でなきゃ
見に来ないよな",SUPPORTED,"0001,0026,035A,05D4,05D9",NONE,
SCN_00031300_00740000_0008,SCENARIO,scenario_message,DATA/00031300.MDZ,DATA/00031300.MDT,0x00740000,00031300,7,0x001e56f5,0x001e56f0,79 aa 43 08 25 f0 3a f0 d1 a0 2a f0 e4 ea 93 ba 46 08 95 92 82 21 4a f1 48 f9 c1 44 f4 7b bf 95 98 46 07 0e 00 08 00 75 47 21 b4 79 21 77 77 b6 08 88 f0 ba 88 f0 ba 43 08 30 f0 3b f0 3a f0 e2 a0 3b f2 c5 f0 9c c2 7e 9d 08 39 f1 a1 9c 77 8f 43 0d ff 00,"うへ！
ピンクのベッドだよ…
ったく、年齢を考えろって…<CTRL:07 0E 00 08 00>あー、もう、いいや
出よ出よ！
ミランダの部屋なんかに
用はないよ！","우헤!
분홍색 침대야…
정말이지, 나이를 생각하라고…<CTRL:07 0E 00 08 00>아, 됐어
나가자 나가!
미란다 방에는
볼일 없어!",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 06 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":6},{""offset"":3,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":17,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":34,""raw_hex"":""07 0e 00 08 00"",""kind"":""INLINE_07"",""argument"":8},{""offset"":48,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":56,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":73,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":81,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역; <CTRL>/<Gxxxx> 구조 토큰 보존.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_07; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. 구조 토큰 보존.,"うへ！
ピンクのベッドだよ<G0026>
ったく<G0001><G01CA><G0848>を考えろって<G0026><CTRL:07 0E 00 08 00>あー<G0001>もう<G0001>いいや
出よ出よ！
ミランダの部<G0175>なんかに
用はない<G006F>！",SUPPORTED,"0001,0026,006F,0175,01CA,0848",NONE,
SCN_00060000_00740000_0005,SCENARIO,scenario_message,DATA/00060000.MDZ,DATA/00060000.MDT,0x00740000,00060000,4,0x002e1dea,0x002e1de5,94 b9 77 9a 60 f2 73 f5 9c 86 9a 9d 08 b0 80 86 b0 be 92 b1 92 77 93 9f 13 ff 1e 08 6b f2 dc f2 13 ff 0f 21 c0 84 a0 c0 7e c2 9c 77 86 9a 08 77 95 98 92 84 9b 46 46 0d ff 00,"ちょいと面倒なことに
まきこまれたみたいだね<CTRL:13 FF 1E>
連中<CTRL:13 FF 0F>、わけのわかんないこと
いってたけど……","조금 곤란한 일에
휘말린 모양이네<CTRL:13 FF 1E>
그자들<CTRL:13 FF 0F>은 알 수 없는 말을
하고 있었지만……",EE E7 20 4A F5 9B F8 9A 20 B2 72 08 C7 F5 97 D6 F8 20 D2 84 F9 8B A4 13 FF 1E 08 83 A1 A5 13 FF 0F 7D 20 BA 20 AB 20 B1 93 20 97 73 08 81 63 20 7E BC 8F 75 46 46 0D FF 00,ミランダ,"[{""offset"":-5,""raw_hex"":""22 0e 00 21 00"",""kind"":""MESSAGE_HEADER"",""opcode"":34,""argument"":33},{""offset"":12,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":24,""raw_hex"":""13 ff 1e"",""kind"":""OPAQUE_13_FF"",""argument"":30},{""offset"":27,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":32,""raw_hex"":""13 ff 0f"",""kind"":""OPAQUE_13_FF"",""argument"":15},{""offset"":46,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":55,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역; <CTRL>/<Gxxxx> 구조 토큰 보존.,SUPPORTED: structured scenario command; header FACE slot maps to face_miranda_08; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. 구조 토큰 보존.,"ちょいと面倒なことに
まきこまれたみたいだね<CTRL:13>マ<CTRL:1E>
連中<CTRL:13>マ<CTRL:0F><G0001>わけのわかんないこと
いってたけど<G0026><G0026>",SUPPORTED,"0001,0026",NONE,
SCN_00060000_00740000_0007,SCENARIO,scenario_message,DATA/00060000.MDZ,DATA/00060000.MDT,0x00740000,00060000,6,0x002e1e82,0x002e1e7d,13 ff 0f aa 7a 45 13 ff 14 21 8a 95 7e bc a1 f0 98 92 c2 93 13 ff 1e 08 75 a0 22 f0 ec e4 d1 a0 dc f2 99 07 0e 00 1e 00 99 13 ff 0f 21 9b 79 8c c2 a0 21 86 be 7e bb 44 0d ff 00,"<CTRL:13 FF 0F>へぇ〜<CTRL:13 FF 14>、しっかり見てたんだ<CTRL:13 FF 1E>
あのパニックの中で<CTRL:07 0E 00 1E 00>で<CTRL:13 FF 0F>、どうすんの、これから？","<CTRL:13 FF 0F>헤에~<CTRL:13 FF 14>, 똑똑히 보고 있었네<CTRL:13 FF 1E>
그 난리통 속에서<CTRL:07 0E 00 1E 00>그래서<CTRL:13 FF 0F>, 이제 어떻게 할 거야?",13 FF 0F 34 F2 72 45 13 FF 14 5D F6 20 2F F5 2F F5 25 F0 20 A9 63 20 7E BC A4 13 FF 1E 08 83 20 21 F0 8A 75 F2 20 69 F7 72 8C 07 0E 00 1E 00 83 AE 8C 13 FF 0F 5D F6 20 8B CA 20 89 7F F8 88 20 CD 20 8E 6F 44 0D FF 00,ミランダ,"[{""offset"":-5,""raw_hex"":""22 0e 00 20 00"",""kind"":""MESSAGE_HEADER"",""opcode"":34,""argument"":32},{""offset"":0,""raw_hex"":""13 ff 0f"",""kind"":""OPAQUE_13_FF"",""argument"":15},{""offset"":6,""raw_hex"":""13 ff 14"",""kind"":""OPAQUE_13_FF"",""argument"":20},{""offset"":20,""raw_hex"":""13 ff 1e"",""kind"":""OPAQUE_13_FF"",""argument"":30},{""offset"":23,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":35,""raw_hex"":""07 0e 00 1e 00"",""kind"":""INLINE_07"",""argument"":30},{""offset"":41,""raw_hex"":""13 ff 0f"",""kind"":""OPAQUE_13_FF"",""argument"":15},{""offset"":56,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역; <CTRL>/<Gxxxx> 구조 토큰 보존.,SUPPORTED: structured scenario command; header FACE slot maps to face_miranda_07; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. 구조 토큰 보존.,"<CTRL:13>マ<CTRL:0F>へ<G005A>〜<CTRL:13>マ<CTRL:14><G0001>しっかり見てたんだ<CTRL:13>マ<CTRL:1E>
あのパニックの中で<CTRL:07 0E 00 1E 00>で<CTRL:13>マ<CTRL:0F><G0001>どうすんの<G0001>これから？",SUPPORTED,"0001,005A",NONE,
SCN_00060000_00740000_0009,SCENARIO,scenario_message,DATA/00060000.MDZ,DATA/00060000.MDT,0x00740000,00060000,8,0x002e1f05,0x002e1f00,a9 a9 a9 95 43 13 ff 0f 08 8a 7d bb 8a 77 ab f3 8a 94 b5 95 98 43 13 ff 1e 08 c2 9c 86 9a 21 86 be 95 af 95 94 b4 08 a1 f1 95 98 9c 77 95 8a b9 44 0d ff 00,"ぶぶぶっ！<CTRL:13 FF 0F>
しおらしい顔しちゃって！<CTRL:13 FF 1E>
んなこと、これっぽっちも
思ってないっしょ？","푸핫!<CTRL:13 FF 0F>
얌전한 얼굴을 하고는!<CTRL:13 FF 1E>
조금도 그런 생각
안 하고 있잖아?",48 F7 43 F9 43 13 FF 0F 08 82 F4 DB 9A 20 7E F0 8D F6 73 20 81 63 93 43 13 FF 1E 08 EE E7 6E 20 83 C7 20 D6 30 F0 08 BB 20 81 63 20 7E D8 90 44 0D FF 00,ミランダ,"[{""offset"":-5,""raw_hex"":""22 0e 00 20 00"",""kind"":""MESSAGE_HEADER"",""opcode"":34,""argument"":32},{""offset"":5,""raw_hex"":""13 ff 0f"",""kind"":""OPAQUE_13_FF"",""argument"":15},{""offset"":8,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":22,""raw_hex"":""13 ff 1e"",""kind"":""OPAQUE_13_FF"",""argument"":30},{""offset"":25,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":38,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":49,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역; <CTRL>/<Gxxxx> 구조 토큰 보존.,SUPPORTED: structured scenario command; header FACE slot maps to face_miranda_07; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. 구조 토큰 보존.,"<G0089><G0089><G0089>っ！<CTRL:13>マ<CTRL:0F>
しおらしい<G03CB>しちゃって！<CTRL:13>マ<CTRL:1E>
んなこと<G0001>これっ<G008F>っちも
思ってないっしょ？",SUPPORTED,"0001,008F,03CB",SUPPORTED,0089
SCN_00060000_00740000_0010,SCENARIO,scenario_message,DATA/00060000.MDZ,DATA/00060000.MDT,0x00740000,00060000,9,0x002e1f48,0x002e1f43,21 f0 3e f0 92 7e 43 13 ff 14 08 75 a0 59 f1 c1 d8 f0 8c 88 21 b4 94 bf c2 43 0d ff 00,"バレたか！<CTRL:13 FF 14>
あの子を探すさ、もちろん！","들켰나!<CTRL:13 FF 14>
그 아이를 찾을 거야, 당연히!",A5 ED F1 70 43 13 FF 14 08 83 20 90 8B A7 20 58 F8 73 20 8E 6F 5D F6 20 EE F7 A3 F3 25 F0 43 0D FF 00,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 0a 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":10},{""offset"":7,""raw_hex"":""13 ff 14"",""kind"":""OPAQUE_13_FF"",""argument"":20},{""offset"":10,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":26,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역; <CTRL>/<Gxxxx> 구조 토큰 보존.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_11; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. 구조 토큰 보존.,"バレたか！<CTRL:13>マ<CTRL:14>
あの子を<G0188>すさ<G0001>もちろん！",SUPPORTED,"0001,0188",NONE,
SCN_00060000_00740000_0011,SCENARIO,scenario_message,DATA/00060000.MDZ,DATA/00060000.MDT,0x00740000,00060000,10,0x002e1f74,0x002e1f6f,13 ff 0f cc e4 d3 47 43 13 ff 0f 08 75 c2 92 a0 3d f4 80 9d 9c 88 77 43 0d ff 00,"<CTRL:13 FF 0F>オッケー！<CTRL:13 FF 0F>
あんたの好きになさい！","<CTRL:13 FF 0F>오케이!<CTRL:13 FF 0F>
네 마음대로 하렴!",13 FF 0F B0 57 F6 8B 43 13 FF 0F 08 A4 20 92 D1 AD 99 20 81 C3 F4 43 0D FF 00,ミランダ,"[{""offset"":-5,""raw_hex"":""22 0e 00 1f 00"",""kind"":""MESSAGE_HEADER"",""opcode"":34,""argument"":31},{""offset"":0,""raw_hex"":""13 ff 0f"",""kind"":""OPAQUE_13_FF"",""argument"":15},{""offset"":8,""raw_hex"":""13 ff 0f"",""kind"":""OPAQUE_13_FF"",""argument"":15},{""offset"":11,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":24,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역; <CTRL>/<Gxxxx> 구조 토큰 보존.,SUPPORTED: structured scenario command; header FACE slot maps to face_miranda_06; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. 구조 토큰 보존.,"<CTRL:13>マ<CTRL:0F>オッケー！<CTRL:13>マ<CTRL:0F>
あんたの好きになさい！",NONE,,NONE,
SCN_00060000_00740000_0014,SCENARIO,scenario_message,DATA/00060000.MDZ,DATA/00060000.MDT,0x00740000,00060000,13,0x002e201e,0x002e2019,75 75 46 46 13 ff 41 0d ff 00,ああ……<CTRL:13 FF 41>,그래……<CTRL:13 FF 41>,83 AE 46 46 13 FF 41 0D FF 00,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 01 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":1},{""offset"":4,""raw_hex"":""13 ff 41"",""kind"":""OPAQUE_13_FF"",""argument"":65},{""offset"":7,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역; <CTRL>/<Gxxxx> 구조 토큰 보존.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_02; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. 구조 토큰 보존.,ああ<G0026><G0026><CTRL:13>マ<G0021>,SUPPORTED,"0021,0026",NONE,
SCN_00060000_00740000_0019,SCENARIO,scenario_message,DATA/00060000.MDZ,DATA/00060000.MDT,0x00740000,00060000,18,0x002e20f8,0x002e20f3,12 01 a1 bc 80 95 94 b5 95 98 21 b0 74 13 ff 41 0d ff 00,<CTRL:12><CTRL:01>はりきっちゃって、まぁ<CTRL:13 FF 41>,<CTRL:12><CTRL:01>참 신이 났네<CTRL:13 FF 41>,12 01 E0 F7 20 D0 8B 20 5E F7 A4 13 FF 41 0D FF 00,ミランダ,"[{""offset"":-5,""raw_hex"":""22 0e 00 20 00"",""kind"":""MESSAGE_HEADER"",""opcode"":34,""argument"":32},{""offset"":0,""raw_hex"":""12"",""kind"":""UNKNOWN_CONTROL""},{""offset"":1,""raw_hex"":""01"",""kind"":""UNKNOWN_CONTROL""},{""offset"":13,""raw_hex"":""13 ff 41"",""kind"":""OPAQUE_13_FF"",""argument"":65},{""offset"":16,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역; <CTRL>/<Gxxxx> 구조 토큰 보존.,SUPPORTED: structured scenario command; header FACE slot maps to face_miranda_07; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. 구조 토큰 보존.,<CTRL:12><CTRL:01>はりきっちゃって<G0001>ま<G0054><CTRL:13>マ<G0021>,SUPPORTED,"0001,0021,0054",NONE,
SCN_00061100_00740000_0006,SCENARIO,scenario_message,DATA/00061100.MDZ,DATA/00061100.MDT,0x00740000,00061100,5,0x002563aa,0x002563a5,88 98 21 13 ff 14 4d f4 84 f2 b4 51 84 f2 21 a7 f1 82 c0 ba 7c 13 ff 1e 08 6f f0 37 f4 99 80 98 bd 21 13 ff 0f c4 3d f0 26 f0 c5 eb 44 0d ff 00,"さて、<CTRL:13 FF 14>あ日も1日、歩くわよお<CTRL:13 FF 1E>
覚悟できてる、<CTRL:13 FF 0F>アルフィナ？","자, <CTRL:13 FF 14>오늘도 하루 종일 걸을 거야<CTRL:13 FF 1E>
각오는 됐니, <CTRL:13 FF 0F>알피나?",A1 5D F6 20 13 FF 14 B0 E2 6E 20 81 C6 F8 20 A5 F3 B2 20 E0 73 20 8E 6F 13 FF 1E 08 30 F0 B0 93 20 3B F8 7B 5D F6 20 13 FF 0F BA E9 70 44 0D FF 00,ミランダ,"[{""offset"":-5,""raw_hex"":""22 0e 00 1e 00"",""kind"":""MESSAGE_HEADER"",""opcode"":34,""argument"":30},{""offset"":3,""raw_hex"":""13 ff 14"",""kind"":""OPAQUE_13_FF"",""argument"":20},{""offset"":21,""raw_hex"":""13 ff 1e"",""kind"":""OPAQUE_13_FF"",""argument"":30},{""offset"":24,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":34,""raw_hex"":""13 ff 0f"",""kind"":""OPAQUE_13_FF"",""argument"":15},{""offset"":45,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역; <CTRL>/<Gxxxx> 구조 토큰 보존.,SUPPORTED: structured scenario command; header FACE slot maps to face_miranda_05; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. 구조 토큰 보존.,"さて<G0001><CTRL:13>マ<CTRL:14><G043D><G02D4>も1<G02D4><G0001>歩くわよ<G005C><CTRL:13>マ<CTRL:1E>
覚<G0427>できてる<G0001><CTRL:13>マ<CTRL:0F>アルフィナ？",SUPPORTED,"0001,02D4,0427,043D",SUPPORTED,005C
